no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
142,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
143,깔끔한 맛과 고급스런 이미지때문에 하이네켄에 자주 손이 간다.,맛이 깔끔하다,고급스럽다,,102,15,
144,흑맥주로 깔끔한 뒷맛,뒷맛이 깔끔하다,,,153,,
145,어디서든 구하기 쉽고 많이 접해본 상품이라 그런지 입맛에도 잘 맞는 것 같다.,구입이 용이하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,21,3,107
146,가장 친숙한 맛,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
147,최초 광고 시작할 때부터 광고가 좋았고(천연암반수 광고였던듯) 또 최근에도 스포츠스타가 나온 광고라서 기억에 많이 남음. 맥주간 맛은 거의 비슷하지만 광고 마케팅면에서 하이트에 끌리는 듯.,광고가 좋다/광고 이미지가 좋다,광고 모델이 좋다 ,광고가 강렬하다/광고가 B602기억에 남는다,301,303,403
148,예전부터 마셔왔던 브렌드이기 때문에,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
149,칼로리 걱정이 덜하고 부드럽다,칼로리가 적다/다이어트에 좋다,부드럽다,,46,14,
150,뒷맛이 깔끔하고 개운하다,뒷맛이 깔끔하다,뒷맛이 개운하다 ,,153,495,
151,가장 국민적이고 대중인적인 맥주로 맛이 항상 내 입맛을 사로 잡는다,대중적/보편적이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,22,107,
152,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
153,맛이 급격히 좋아졌다  기존에는 국산을 먹으면 MAX만 찾았는데  요즘은 오비골든라거만 찾게된다  오비골든라거는 광고를 본적이 없다   광고하면 맥스가 생각나지만  역시 맥주는 맛이 생명이다~,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
154,맛있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
155,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
156,맛있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
157,김연아의 광고가 활력이 넘치고 시원해보여서 입니다,광고 모델이 좋다 ,광고가 활기차다,광고가 시원할 것이란 느낌을 준다,303,958,165
