no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
7142,맥주맛이 진하고 개운함이 오래남아서 좋다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,뒷맛이 개운하다 ,,115,495,
7143,주변사람의 권유로 마셔보았는데 사람들이 즐기지 않는거 같아서   있어보이니깐..,주변에서 추천하는 맥주다,흔하지 않은 제품이다/차별화된 제품이다,고급스럽다,179,18,15
7144,깊은 맛 때문에,맛이 풍부하다/맛이 깊다,,,70,,
7145,보리맛이 강하지 않고 마시기가 거북하지 않아서 좋아합니다.,보리 맛이 덜하다,가볍게/무난하게/부담 없이 마실 수 있다,,492,601,
7146,"맛도 좋고, 조금이라도 살이 덜찔것같은 느낌",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,칼로리가 적다/다이어트에 좋다,,107,46,
7147,흑맥주를 좋아한다 하지만 기네스는 너무쎳다...,흑맥주를 좋아한다,,,69,,
7148,"맛이 좋아서, 다른 맥주와 다른 독특한 맛 때문",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 독특하다/맛이 차별화됐다,,107,117,
7149,저렴하면서 가격대비 최고의 맥주맛을 보여준다.,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
7150,자주 먹어서 다른 맥주는 먹을수가 없음,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7151,늘 손이가던 거라 카스를 찾게되는 것 같아요..   즐겨먹는 맥주라 그런 것 같아요,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7152,맥주의 맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7153,맛이 깔끔하고 광고를 보면 마시고 싶은 생각이 들어서,맛이 깔끔하다,광고를 보면 마시고 싶다/광고가 맛있을 것 같이 느껴진다,,102,407,
7154,깔끔한 맛,맛이 깔끔하다,,,102,,
7155,일단 국산 맥주로 값싸고 맛도 괜찮아서..(칼로리가 낮아서 좋음),국산 브랜드이다,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,371,11,107
7156,흑맥주의 특이함때문에 마시기 시작했는데 다른맥주보다 쏘는맛도 덜하고 부드러운것 같아서,특별하다,톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,7,121,112
7157,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7158,알싸하고 쏘는 맛이 다른 맥주에 비해 세고 맛있음,톡 쏘는 맛이 있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,104,107,
7159,매주에 맛 때문에,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7160,"회사의 믿음, 맛있음",신뢰가 간다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,25,107,
7161,칼로리가 적고 목넘김이 부드럽고 거부감이 별로 들지 않는맛이 난다.,칼로리가 적다/다이어트에 좋다,목 넘김이 부드럽다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,46,171,107
7162,첫맛과 끝맛이 같다,맛이 변함없다,,,429,,
7163,칼로리가 다소 낮음.,칼로리가 적다/다이어트에 좋다,,,46,,
7164,뒷맛이 깔끔하고 맥주맛이 연하다,뒷맛이 깔끔하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,153,112,
7165,맛있고 신용이 간다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,신뢰가 간다,,107,25,
7166,"브랜드 이미지가 좋으며, 품질도 좋다. 색깔 이미지가 좋으며 진짜 황금을 먹는 그런 느낌이 든다. 시각적으로",브랜드가 좋다/브랜드 이미지가 좋다,품질이 우수하다,색상이 예쁘다,19,124,281
7167,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7168,시원한 느낌이 있어서,시원하다,,,2,,
7169,맛이 깔끔하고 달달한 느낌,맛이 깔끔하다,달콤하다/꿀맛이 난다,,102,108,
7170,"이름 자체의 느낌이 좋고, 색도 예쁘다",브랜드 명이 예쁘다/브랜드 명이 좋다/상표가 매력적이다/상표가 귀엽다/브랜드 어감이 좋다,색상이 예쁘다,,370,281,
7171,자주 접하는 맥주이고 맥주 맛이 가장 나와 잘 맞다.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,3,107,
7172,맛이 부드러워서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
7173,깨끗한 느낌을 전달하는 광고를 보고난후부터 좋아하게되었다,광고가 깔끔하다,,,801,,
7174,눈에 확 들어옴,눈에 잘 들어온다 ,,,8,,
7175,가격도 저렴한 편이고 마시고나서 끝맛이 깔끔해서,가격이 저렴하다 ,뒷맛이 깔끔하다,,11,153,
7176,자주마심,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7177,호가든 맥주의 부드러움과 상표가 잘 맞아 떨어지는듯해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,브랜드 명이 맛있을 것 같다/상표가 맛있어 보인다,,112,374,
7178,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7179,전통적인 시원한 맛,맛이 전통이 있다/변함없는 맛이다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,105,103,
7180,자주 마시고 어디에서든 있기때문에,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,구입이 용이하다,,3,21,
7181,부드러운 느낌이 좋습니다.,부드럽다,,,14,,
7182,국산중에 맛이 제일 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7183,흑맥주 진한맛,흑맥주를 좋아한다,진한 흑맥주의 맛이다,,69,73,
7184,쏘는 맛이 강하다.,톡 쏘는 맛이 있다,,,104,,
7185,깔끔해서,깔끔하다,,,1,,
7186,대중적이다,대중적/보편적이다,,,22,,
7187,깔끔한 첫맛과  그 맛이 끝까지 남아서,맛이 깔끔하다,뒷맛이 좋다,,102,151,
7188,항상 마시던거 거라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7189,다른 맥주와 달리 탄산의 톡쏘는 맛이 강함,톡 쏘는 맛이 있다,,,104,,
7190,가격대비 최강,품질이 우수하다,,,124,,
7191,레몬을 넣고 같이 마시면  레몬향과 같이 톡쏘는 맛이 나는 것이 좋음  느끼하지않음,레몬을 넣어서 마시면 향긋하다,톡 쏘는 맛이 있다,맛이 느끼하지 않다,239,104,931
7192,음식과 같이 먹을 때 맛있어서,어떤 안주에도 잘 어울린다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,650,107,
7193,톡쏘는 맛이 강하면서 목넘김은 시원하면서 부드럽다,톡 쏘는 맛이 있다,목 넘김이 시원하다,목 넘김이 부드럽다 ,104,175,171
7194,"시중에서 손쉽게 살수 있고, 식당이나 동네 소매점에서 어디서나 취급하고 있어서",구입이 용이하다,,,21,,
7195,오래전부터 먹어와서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7196,맛이 깊고 구수한 좋은 것 같아서요,맛이 풍부하다/맛이 깊다,맛이 고소하다,,70,116,
7197,맛이 진하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
7198,맛이 좋음..,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7199,가장 입맛에 맞다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7200,깊은 맛 때문에 질리지 않아서,맛이 풍부하다/맛이 깊다,빨리 질리지 않는다,,70,132,
7201,쓴맛이없고 부드럽고 도수가 낮음.,쓴 맛이 덜 하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,119,112,84
7202,거품이 부드럽고 목넘김이 좋다,거품이 부드럽다,목 넘김이 좋다 ,,183,173,
7203,간단해서,어디서나 간단하게 마실 수 있다,,,845,,
7204,신선한 느낌이 든다,신선하다,,,217,,
7205,멋져보여서,멋스럽다,,,505,,
7206,보리맥주를 좋아함 맛이 깨끗함,보리100%/보리로 만들었다,맛이 깔끔하다,,706,102,
7207,우리나라 대표 맥주들중에서 보리맛이 좋다. 뒤끝맛이 쓴맛이 강하지 않고 싱겁지도 않으며 깔끔하다.,보리 맛이 좋다,뒷맛이 쓰지 않다,뒷맛이 강하다,900,152,507
7208,시원해보이고 맛있어보이는이미지,시원하다,패키지 디자인이 맛있어 보인다,,2,88,
7209,약간의 단맛이 느껴진다,달콤하다/꿀맛이 난다,,,108,,
7210,적당한 탄산이며 쓴맛도 느껴지지 않고 깔끔하다  ,탄산이 적당하다,쓴 맛이 덜 하다,맛이 깔끔하다,110,119,102
7211,첫번째로 국내주류기 때문에 가격이 저렴합니다.  오비처럼 너무 밀냄새가 나지도 않고 하이트처럼 물냄새가 심하지도 않는 딱 중간맛이라 선호합니다.,국산 브랜드이다,가격이 저렴하다 ,향이 좋다,371,11,204
7212,좋아하는 맥주인데 그 맛이 바로 떠오른다,선호하는 제품이다,맥주의 맛이 상표에서 설명이 되는 것 같다,,4,902,
7213,부드러우면서 응訣종티&#65533;,부드럽다,,,14,,
7214,맥아 비율이 높아 맥주 맛이 좋음,맥아 비율이 높다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,910,107,
7215,특유의 풍만함(?),맛이 풍부하다/맛이 깊다,,,70,,
7216,청량함 탄산,맛이 시원하다/맛이 상쾌하다/청량감이 있다,탄산이 적당하다,,103,110,
7217,아무래도 칼로리가 낮을 것 같아서,칼로리가 적다/다이어트에 좋다,,,46,,
7218,산뜻한 맛,맛이 산뜻하다/맛이 상큼하다,,,118,,
7219,시원함 먹으면 끝남,시원하다,,,2,,
7220,맛잇다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7221,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7222,ㅌㄹ,불량응답,,,0,,
7223,"산토리 맥주를 좋아하다보니,   자동적으로 그 맥주 상표가 제일 먼저 눈에 들어오고  관심있게 보게 됨",브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
7224,부드럽고 좋다,부드럽다,,,14,,
7225,목넘김이 부드럽고 맛있다,목 넘김이 부드럽다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,171,107,
7226,제일 맛있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7227,맛이 부드럽고 다른 제품들과 비교해 가장 괜찮은 맛이다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
7228,가장 자주 마시고 거부감이 없는 친근한 맥주. 다른 국산맥주보다 청량감이 뛰어나 마시면 더 시원함이 느껴짐.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,가볍게/무난하게/부담 없이 마실 수 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,3,601,103
7229,원빈이 드라이 피니쉬 광고를 한 게 인상적이었다.  그러다가 술집 이벤트로 받게 됐는데 생각보다 맛있고 깔끔해서 그 뒤로 자주 애용하게 되었다.,광고 모델이 좋다 ,사은행사를 많이 한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,303,766,107
7230,시원한 느낌,시원하다,,,2,,
7231,여행,여행에서 마신 기억/추억이 깃든 상표다,,,617,,
7232,알아보기 쉽다.,브랜드 명이 쉽다/브랜드명이 간결하다,,,42,,
7233,"부드럽고 맛있다. 술 특유의 쓴맛이 별로 안느껴져서 좋다,",맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,쓴 맛이 덜 하다,112,107,119
7234,그냥 예전부터 먹던거라서  부모님과 함께,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,가족/주변인이 자주 구매한다,,3,623,
7235,맛도그런대로괜찮고 인지도가 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,유명하다/인지도가 높다,,107,24,
7236,맛의 풍부함,맛이 풍부하다/맛이 깊다,,,70,,
7237,톡쏘는맛,톡 쏘는 맛이 있다,,,104,,
7238,처음에 드라이공법이라하여 어떤맛일까 하는마음에 먹어봤는데  기존맥주에서 느끼던 맥주특유의 냄새가 안나고 상쾌했다  맛도 깔끔해서 자주이용중,제조 공법이 차별화 되었다,맥주 따를 때 향이 없다/맥주 향이 없어 좋다/맥주의 누린내가 없다,향이 시원하다,915,206,244
7239,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7240,"남자맥주, 그리고 항상 카스를 마셔왔다",남성적이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,6,3,
7241,맥주가 맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7242,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7243,맛이 부드러워서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
7244,부드러움     여성들에게 적합한 맥주   ,부드럽다,여성적이다/여성이 마시기에 좋다,,14,30,
7245,맛이 깔끔하고 다른 제품보다 시원한 느낌이 든다,맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,102,103,
7246,목넘김이 부드럽고 뒷끝이 깨끗함.,목 넘김이 부드럽다 ,숙취가 덜 하다/뒤끝이 깔끔하다,,171,13,
7247,습관,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7248,맥주맛이 좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7249,호가든 좋아하는 친구가 있는데 맛있다고 노래부름.. 나도 먹어봤는데 나쁘지않아서 요새 구입하고있음,주변에서 추천하는 맥주다,무난하다,,179,23,
7250,"우리나라에서 기본적인 맥주이고 시중에 가장 가깝게 접할 수 있고, 개운한 맛의 맥주라고 생각한다",맥주 기본/특유의 맛이 잘 살아있다,구입이 용이하다,맛이 개운하다 ,54,21,122
7251,맛이좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7252,"맛있습니다.  예전 오비맥주 맛에 비해 더 진해졌고, 뒷맛은 깔끔합니다.  톡 쏘는 맛이 더 강해져서 좋습니다.  하정우 씨의 광고도 좋고요.  ",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,뒷맛이 깔끔하다,107,115,153
7253,익숙한 맛이라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7254,"맥주캔 디자인이 시원시원해서 좋고,  광고에서 많이보고 많이 마시다 보니까",디자인이 시원한 느낌이다,광고를 많이 한다,,133,302,
7255,레몬향..,레몬 향이 있다,,,208,,
7256,부드러워서,부드럽다,,,14,,
7257,오래된 중후한 이미지.  전통적인 흑맥주.  ,전통 있다,,,366,,
7258,깔끔해서,깔끔하다,,,1,,
7259,무언가 고급스러운 느낌이 들어서,고급스럽다,,,15,,
7260,부드러운 목넘김이 좋다,목 넘김이 부드럽다 ,,,171,,
7261,맥주 맛이 풍부하다.,맛이 풍부하다/맛이 깊다,,,70,,
7262,이전부터 마셔 왔지만 목넘길때 느낌이 좋은 같아 선호합니다.,목 넘김이 좋다 ,,,173,,
7263,맛이 조금 밍밍한 편이라 넘기기 쉽고 많이 마시기 편해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 부드럽다 ,마시기 편하다,112,171,613
7264,목넘김이 좋고 젊은 느낌의 맥주 같아서,목 넘김이 좋다 ,이미지가 젊다/젊은 층이 많이 마신다,,173,504,
7265,가장 대중적이면서 시원하면 톡쏘는 맛이 좋다,대중적/보편적이다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,톡 쏘는 맛이 있다,22,103,104
7266,카스에 톡쏘는 탄산맛도 물론 매력있지만 탄산이 좀 부드럽고 적다고 해야되나 그런 쪽에선 카스라이트가 타종류의 맥주 밀러 라이트나 산미구엘 라이트 등등 보다 훨신 감칠맛이 나는거 같아 좋습니다.,탄산이 부드럽다,탄산이 적다/탄산이 강하지 않다,감칠 맛이 좋다,945,75,53
7267,"맛있고, 맥주특유의 냄새가 적고 맛이 깔끔하다",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,향이 부드럽다/향이 순하다/향이 은은하다,맛이 깔끔하다,107,211,102
7268,타 제품에 비해 입에서 쏘는 맛이 일품이며  향이 진하다,톡 쏘는 맛이 있다,향이 강하다/향이 풍부하다/향이 진하다/향이 깊다,,104,205,
7269,카프리를 병으로 먹으면 톡쏘는 맛이 좋아서 배부르지 않으면서도 한병으로 기분좋게 마실수 있는 점이 좋습니다.,톡 쏘는 맛이 있다,포만감이 덜 하다,마시면 기분이 좋다,104,12,632
7270,다른 맥주보다 청량감도 좋은것 같고 보리맥주의 부드럽고 깊은 향(달달한 것도)이 좋다.,맛이 시원하다/맛이 상쾌하다/청량감이 있다,보리 향이 풍부하다,향이 달콤하다,103,224,240
7271,부드럽고 가볍게 마시기 좋다,부드럽다,가볍게/무난하게/부담 없이 마실 수 있다,,14,601,
7272,뒷맛이 깔끔하다,뒷맛이 깔끔하다,,,153,,
7273,칼로리가 적고 젊은 사람들이 마시는 맥주같은 느낌,칼로리가 적다/다이어트에 좋다,이미지가 젊다/젊은 층이 많이 마신다,,46,504,
7274,젤 친숙하고 늘 마시던 거라,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7275,맛이있고 많이 마셔도 취하지않는느낌,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,,107,84,
7276,"미국에서 유학생활을 하고 왔는데, 미국에서 매우 많은 종류, 매우 다양한 맛의 맥주를 즐겼었습니다.  허나 한국에서 먹어본 CASS, HITE 의 경우 맥주의 맛이 매우 떨어진다고 느꼈으며 한국복귀당시 그나마 향이 조금 풍부하고 맛이 있다고 느낀 국산 맥주가 MAX 였습니다",향이 강하다/향이 풍부하다/향이 진하다/향이 깊다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,205,107,
7277,끝넘김이 좋음,목 넘김이 좋다 ,,,173,,
7278,먹을때 부드럽고 목넘김이 깔끔해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 깔끔하다,,112,172,
7279,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7280,"가볍고 상큼하다. 주로 맥주는 여름철 등에 시원함을 느끼기 위해 마시거나 치킨 등 무거운 음식을 먹을 때 같이 마시는 경우가 많은데, 가볍고 시원해서 좋다. 레몬 향도 취향에 맞는다.",가벼운 느낌이다,상큼하다/산뜻하다,여름에 잘 어울린다,629,29,730
7281,맥주맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7282,독일 맥주 특유의 부드러운 맛과 풍미가 다른 맥주에 비해 풍부하고 목넘김 또한 다른 맥주에 비해 부드럽다.,정통 독일 식 맥주 맛이 난다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,풍미가 풍부하다,416,112,886
7283,옜날부터 좋아했고 목넘김느낌이 좋으며 적당히 쏘는맛이있고  가격도 적당하고 맛이 시원하니 좋습니다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,목 넘김이 좋다 ,톡 쏘는 맛이 있다,3,173,104
7284,진한 맛이 좋다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
7285,고소하고 맛있다,맛이 고소하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,116,107,
7286,다른 맥주에 비해 끝맛이 쓰지 않음,뒷맛이 쓰지 않다,,,152,,
7287,맛이 좋고 달달한게 목넘김이 좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,달콤하다/꿀맛이 난다,목 넘김이 좋다 ,107,108,173
7288,어디서도 팔기때문,구입이 용이하다,,,21,,
7289,맥주맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7290,너무 톡쏘지 않고 적당히 시원한 맛이 나서,톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,121,103,
7291,부드럽고 상큼한 맛 때문,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 산뜻하다/맛이 상큼하다,,112,118,
7292,시원하다,시원하다,,,2,,
7293,칼로리가 낮은것 같고 맥주맛이 산뜻 해서,칼로리가 적다/다이어트에 좋다,맛이 산뜻하다/맛이 상큼하다,,46,118,
7294,가벼운 맛이 좋다.,맛이 가볍다,,,51,,
7295,"싸이가 광고하고 있어서 친숙한 느낌이 들고, 시원함이 살아있을 것 같은 느낌을 준다.",광고 모델이 좋다 ,광고가 친근하다,시원하다,303,401,2
7296,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7297,일반적으로 호프집에서 많이 먹어서,구입이 용이하다,,,21,,
7298,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7299,가장대중적이어서,대중적/보편적이다,,,22,,
7300,순할것같아요,순하다,,,39,,
7301,전통이 있고 맛이 부드럽다,전통 있다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,366,112,
7302,맛있다  목넘김이 시원한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,목 넘김이 시원하다,,107,175,
7303,레몬에이드를 마시는것 처럼 깔끔하고 좋아요,맛이 깔끔하다,,,102,,
7304,"시원함, 젊음",시원하다,이미지가 젊다/젊은 층이 많이 마신다,,2,504,
7305,맛이 부드럽고 특유의 상큼한 맛이 좋습니다. 집에서 먹기 가벼워서 캔으로 사다놓고 자주 먹습니다. 또 치킨이나 음식이랑 먹을 때도 거의 호가든을 시키게 되더라구요. 아무래도 부드러운 맛 때문인것 같습니다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 산뜻하다/맛이 상큼하다,집에서 마시기 좋다,112,118,791
7306,광고가 많이 나온다.,광고를 많이 한다,,,302,,
7307,맥주의 향과 부드러운 맛이 좋아서.,향이 좋다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,204,112,
7308,똑쏘는 느낌이좋음.,톡 쏘는 맛이 있다,,,104,,
7309,"광고, 라벨디자인,맛이 좋다",광고가 좋다/광고 이미지가 좋다,라벨 디자인이 마음에 든다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,301,701,107
7310,처음 접했던 맥주이기 때문에 익숙해서,처음 마셔본 맥주이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,631,3,
7311,무난,무난하다,,,23,,
7312,자주 먹어서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7313,부드러움,부드럽다,,,14,,
7314,상표가 좋은것이 아니라 제품의 목넘김이 부드럽고 취향에 맞기때문,목 넘김이 부드럽다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,171,107,
7315,마셔보니 부드럽고..톡쏘는느낌도 좋다.  많이 마셔도 뒤가 개운하다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,톡 쏘는 맛이 있다,숙취가 덜 하다/뒤끝이 깔끔하다,112,104,13
7316,친근함,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7317,깔끔,깔끔하다,,,1,,
7318,맛이 가볍고 산뜻함,맛이 가볍다,맛이 산뜻하다/맛이 상큼하다,,51,118,
7319,예쁘고 있어보여서,디자인이 예쁘다,고급스럽다,,253,15,
7320,기린 생맥주가 맛있어서,생맥주와 비슷한 맛이다/생맥주의 맛이 좋다,,,59,,
7321,시원한 청량감,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,103,103,
7322,맛있다. 고급스럽다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,고급스럽다,,107,15,
7323,시원함,시원하다,,,2,,
7324,처음부터 그것만 먹었으니깐....,처음 마셔본 맥주이다,,,631,,
7325,제일부드럽게잘넘어간다,목 넘김이 부드럽다 ,,,171,,
7326,맥주맛이 진하다.,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
7327,초록색병 마음에 들고 맛이 있다. 깔끔한 맛,색상이 예쁘다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 깔끔하다,281,107,102
7328,라이트이기때문에 칼로리가 그만큼 낮을것같아서,칼로리가 적다/다이어트에 좋다,,,46,,
7329,외국산보다 저렴하면서도 목넘김이 좋은 점,가격이 저렴하다 ,목 넘김이 좋다 ,,11,173,
7330,"우선 국산 맥주이기 때문에 좋아한다.  비싼 해외 맥주보다 맛도 좋고, 원래는 맥주하면 카스만 먹었는데  오비골든라거를 먹어보고 나서는 계속 이것만 먹습니다.",국산 브랜드이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,371,107,
7331,목넘김이 좋고 맛있어서,목 넘김이 좋다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,173,107,
7332,기분좋게 마실 수 있다,마시면 기분이 좋다,,,632,,
7333,다른 맥주보다 맛이 좀 더 진하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
7334,많이 톡 쏘지도 않고 상표그림이 그래서인지 더 고소한느낌   그리고 ok 캐쉬백도 주고 해서 더더더더 좋아용 ^^,톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,맛이 고소하다,오케이캐쉬백 적립에 좋다,121,116,606
7335,맛이 좋고가격이 적당하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,가격이 합리적이다,,107,451,
7336,맛과 색이 깔끔하다,맛이 깔끔하다,병 색상이 깔끔하다/색상이 깔끔하다,,102,284,
7337,그냥,모름,,,999,,
7338,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7339,요즘 뜨고 맛있다,트랜디하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,867,107,
7340,맥주의 맛이 깔끔하다.,맛이 깔끔하다,,,102,,
7341,젊은 느낌이라서,이미지가 젊다/젊은 층이 많이 마신다,,,504,,
7342,맥주의 부드러움이 좋다. 맛있음,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
7343,청량감이 좋고 목넘김이 부드럽다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,목 넘김이 부드럽다 ,,103,171,
7344,톡쏘는 맛이 좋다,톡 쏘는 맛이 있다,,,104,,
7345,맛이 깔끔하다.  ,맛이 깔끔하다,,,102,,
7346,목넘김이 깔끔하다,목 넘김이 깔끔하다,,,172,,
7347,맛이 달아서,달콤하다/꿀맛이 난다,,,108,,
7348,카스광고도 맘에들지만 맥주가 입에맞음,광고가 좋다/광고 이미지가 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,301,107,
7349,깊은 풍미,풍미가 풍부하다,,,886,,
7350,다른 맥주보다 입맛에 딱 맞다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
7351,자주 먹어서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
7352,간단하면서도 시원한 느낌,어디서나 간단하게 마실 수 있다,시원하다,,845,2,
