KEY,doc,raw_doc_tu
211,가장 익숙해서 좋아합니다,익숙 좋아하
212,깔끔한 맛과 향이 부드러움,깔끔 맛 향 부드럽
213,레몬과 함께 상큼하게 마실 수 있음,레몬 상큼 마시 수
214_0,목넘김이 젤 좋고,목 넘기 젤
214_1,호프향이 제일 살아있다,호프 향 제일
214_3,부드럽다,부드럽
214_4,제일 맥주같다,제일 맥주
215,맥주 거품이 부드러워서 마신다,맥주 거품 부드럽 마시
216_0,여러 종류의 맥주를 마셔봤지만 가장 처음 접했었고,종류 맥주 마시 처음 접하
216_1,오랬동안 마셔온 맥주라서 좋아합니다,동안 마시 맥주 좋아하
216_2,맛도 물론 깔끔하고요쓴 맛이 나지 않아 좋습니다,맛 깔끔 맛
217_0,다른 맥주보다,맥주
217_1,고소함,고소
218_0,먹었을 때 톡 쏘는 그 맛이 좋다,때 맛
218_2,목 넘김이 왠지 부드러운 것 같다,목 넘기 부드럽 것
219_0,상쾌하고,상쾌
219_1,청량한 느낌,청량 느낌
220,맛있어서,맛있
221,맛이 좋아서,맛
222_0,신선하고,신선
222_1,네덜란드상표여서 더 좋고,네덜란드 상표
222_2,맥주의 역사와 전통이 있어서,맥주 역사 전통
223,맛있다 ,맛있
224_0,같이 마시는 사람이 좋아해서 자연스럽게 마시고,마시 사람 좋아하 자연 마시
225_0,원래부터 즐겨마시던 브랜드이다,원래 즐기 마시 브랜드
225_1,독특한 맛과 향이 좋다,독특 맛 향
226,맛좋음,맛
227,약간 순한면서 청량감이 있음,순 한 청량감
229,입 안 가득 퍼지는 풍미,입 퍼지 풍미
230_0,맛도 괜찮고,맛 괜찮
230_1,캔 디자인도 마음에 든다,디자인 마음
231_0,톡쏘는 맛이 신선하고,맛 신선
231_1,개운하다,개운
232_0,흑맥주의 대표브랜드로 맛이 부드럽고,흑 맥주 대표 브랜드 맛 부드럽
232_1,목넘김이 좋으며 맥주의 깊은 맛이 살아있다,목 넘기 맥주 맛
233,맥주의 맛이 좋다,맥주 맛
234_0,부드럽고,부드럽
234_1,목넘김이 좋다,목 넘기
235,국내에서 마실 수 있는 캔맥주의 맛은 천편일률적인데 맥스는 그와 다른 맛을 느낄 수 있다,국내 마시 수 캔 맥주 맛 천편일률 맥스 그 맛 느끼 수
236_0,깔끔한 맛이 인상적이여서 좋다,깔끔 맛 인상
236_1,탄산도 적당히 시원하다는 느낌이 들 정도로 있어서 좋다,탄산 시원 느낌 정도
237,거품 맛있어,거품 맛있
238,가장 좋아하는 맥주이기 때문에,좋아하 맥주 때문
239,부드러운 맛으로 제품을 좋아함,부드럽 맛 제품 좋아하
241,맛있음,맛있
242_0,해외축구를 많이 접하다보니 광고가 많이 노출되어있다,해외 축구 접하 광고 노출
242_2,맛도 괜찮다,맛 괜찮
243,상쾌한 맛,상쾌 맛
244,먹어도 살찌지 않는다는 광고와 도수가 쎄지안은듯함 많이 마셔도 별로 취하는걸 못느낌그냥 탄산이 쎈음료같아서,살찌 광고 도수 듯 마시 취하 것 못 느낌 탄산 음료
245,맛이 달달하여서,맛
246,끝맛이 깔끔하다,끝 맛 깔끔
247,맥주병이나 캔의 디자인 깔끔한 맛 독자적인 브랜드 가치 참신한 광고,맥주병 캔 디자인 깔끔 맛 독자 브랜드 가치 참신 광고
248,끝맛과 목넘김이 좋다,끝 맛 목 넘기
249_0,내 입맛에 잘 맞고,내 입맛
249_1,맥주 이름이 좋다,맥주 이름
250,녹색 병의 디자인 부드러운 맛,녹색 병 디자인 부드럽 맛
251,발음이 상쾌해서,발음 상쾌
252,부드러움과 따로 컵이 있다는 그 레어,부드럽 컵 레어
253,깔끔하다,깔끔
254,맛이좋다,맛
255,가격이 싸면서 먹을만하다,가격 만
256_0,맛이 깊고,맛
256_1,목넘김이 부드럽다,목 넘기 부드럽
